id,title,url,price,meter_price,price_2_payments,price_4_payments,price_12_payments,rnpl_monthly_price,area_sqm,deed_area,num_bedrooms,num_bathrooms,num_living_rooms,num_kitchens,num_rooms,floor_level,furnished,duplex,ac,lift,maid_room,driver_room,pool,basement,backyard,playground,car_entrance,stairs,water_availability,electrical_availability,drainage_availability,private_roof,two_entrances,special_entrance,apartment_in_villa,street_width,direction,city,district,address,latitude,longitude,category_id,category_ga_listing_type,category_ga_property_category,category_is_rent,category_name,category_en,category_plural,category_uri,category_path,category_keywords,category_description,category_index,sale_type,is_rental,is_sale,is_auction,is_daily_rental,create_time,published_at,last_update,verified,boosted,premium,has_img,has_video,ad_license_number,deed_number,rega_licensed,plan_no,parcel_no,user_verified,company_name,user_paid_tier,description,images,videos
6502998,"دور للبيع في شارع شهيد الدين ثم الوطن فهد ابراهيم علي اب, حي النرجس, مدينه الرياض, منطقه الرياض",https://sa.aqar.fm/دور-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-شهيد-الدين-ثم-الوطن-فهد-ابراهيم-علي-اب-حي-النرجس-مدينه-الرياض-منطقه-الرياض-6502998,1500000.0,,,,,,116.0,116.4,4.0,3.0,1.0,,4.0,2.0,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,,شمال الرياض,الرياض,حي النرجس,"شارع شهيد الدين ثم الوطن فهد ابراهيم علي اب, حي النرجس, مدينه الرياض, منطقه الرياض",24.828308,46.677493,22,sale,floor,False,دور للبيع,Floor for sale,دور للبيع,دور-للبيع,/دور-للبيع,"['دور للبيع', 'ادوار للبيع', 'دور ارضي للبيع', 'بيت دور للبيع', 'ادوار تمليك']",ادوار للبيع الرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه عمر العقار اقل من 5 سنوات، يمكنك البحث عن دور ارضي او اول او ثاني باسعار مناسبه علي عقار,21,sale,False,True,False,False,1765465653,1765465653,1766997859,True,False,False,True,True,7100230481.0,2034357742300008,True,3783,407 + 408,True,,5.0,مشروع ادوار ســـدرا مشروع يتميز بموقعه الاستراتجي بحي النرجس جنوب طريق انس بن مالك وتصاميمه الفريده. دور ثاني بمساحه 169م محتويات الدور: -غرفه نوم ماستر -غرفه نوم 1 -غرفه نوم 2 -غرفه خادمه بدوره مياه -صاله -مطبخ -سطح امامي -بلكونه عند الغرفه الماستر -3 دورات مياه,"['039762754_1765464943659.jpg', '039762758_1765464943643.jpg', '039762751_1765464943676.jpg', '039762754_1765464943649.jpg', '039762755_1765464943650.jpg', '039762751_1765464943699.jpg', '039762756_1765464943699.jpg', '039762756_1765464943693.jpg', '039762755_1765465066738.jpg', '039762752_1765465066754.jpg', '039762753_1765465066763.jpg', '039762759_1765465066771.jpg', '039762756_1765465066776.jpg']",['039762752_1765465117982']
6428644,"فيلا للبيع في شارع احمد بن حيان, حي الملقا, مدينه الرياض, منطقه الرياض",https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-احمد-بن-حيان-حي-الملقا-مدينه-الرياض-منطقه-الرياض-6428644,13500000.0,,,,,,700.0,700.0,7.0,5.0,0.0,1.0,7.0,,True,False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,18.0,شمال الرياض,الرياض,حي الملقا,"شارع احمد بن حيان, حي الملقا, مدينه الرياض, منطقه الرياض",24.79604,46.593145,3,sale,villa,False,فيلا للبيع,Villa for sale,فلل للبيع,فلل-للبيع,/فلل-للبيع,"['فيلا', 'دوبلكس', 'دبلكس', 'دوبلكسات', 'فلل', 'للبيع']",فلل للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره و قصور للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره. يمكنك البحث عن فلل بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه فلل وقصور فاخره بسعر مناسب,3,sale,False,True,False,False,1760742335,1760742335,1767012448,True,True,False,True,False,7200727133.0,499022003679,True,3776,177 / 2,True,شركه اثري المتحده العقاريه,2.0,للبيع فيلا بتصميم مميز بملقا السلودير ( يوجد شرح مفصل باليوتيوب علي كامل الفيلا) عنوان المقطع باليوتيوب / فيلا ملقا السلودير 700م راكب التكييف مخفي علي كامل الفيلا والمصعد بنورامي ومطبخين وخزاين وجزي من اثاث الدور الارضي والجناح الرييسي بالاضافه الي سمارت هوم راكب ونظام صوتي وابواب اللكترونيه *المساحه:* ٧٠٠ متر *الواجهه:* جنوبيه *عرض الشارع:* ١٨ متر الدور الارضي : موقفين سيارات - ملحق خارجي - مجلس رجال - صاله طعام - صالتين عايليه مفتوحه علي بعض - غرفه مكتب - مطبخين راكبه - مستودع - غرفه عامله - قسم للغسيل - غرفه حارس - مصعد راكب - تكييف مخفي راكب الدور الاول : 4 اجنحه ماستر بتكييف مخفي - صاله عايليه - جلسه خارجيه الدور الثاني: جناح النوم الرييسي مع غرفه ملابس وغرفه طفل وغرفه اضافيه للتخزين - جلسه خارجيه⁩,"['002902001_1764757893800.jpg', '002902004_1764758077445.jpg', '002902008_1764758110846.jpg', '002902001_1764758149474.jpg', '002902009_1764758181377.jpg', '002902003_1764758210849.jpg', '002902005_1764758264315.jpg', '002902007_1764758338195.jpg', '002902009_1764758401466.jpg', '002902007_1764758425144.jpg']",
6495984,"شقه للبيع في شارع الغاير, حي المروج, مدينه ابها, منطقه عسير",https://sa.aqar.fm/شقق-للبيع/ابها/حي-دره-المنسك/شارع-الغاير-حي-المروج-مدينه-ابها-منطقه-عسير-6495984,635000.0,,,,,,215.0,215.62,6.0,,,,6.0,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,,,ابها,حي دره المنسك,"شارع الغاير, حي المروج, مدينه ابها, منطقه عسير",18.196935,42.556961,6,sale,apartment,False,شقه للبيع,Apartment for sale,شقق للبيع,شقق-للبيع,/شقق-للبيع,"['شقه', 'شقق', 'للبيع']",شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بالصور و شقق تمليك. يمكنك ايجاد شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بسعر مناسب,6,sale,False,True,False,False,1765094406,1765094406,1767012448,True,True,False,True,True,7200785921.0,760002989199,True,1022 / 1424هـ / ع / 1,499,True,مكتب خيال الاركان للعقار,4.0, شقق دوبلكس نظام تاون هاوس للبيع شقق دوبلكس جديده بموقف سياره خاص للشقه بالباركينج مصعد راكب       موقع العقار  / دره المنسك ابها  الاسعار  قيمه العقار  : 635 الف للمالك       مكونات الدور   مجلس ضيافه رجال مع مغاسل ودوره مياه  مجلس ضيافه نساء مع مغاسل ودوره مياه  صاله جلوس  مطبخ  درج داخلي للملحق    مكونات الملحق   صاله جلوس  غرفه نوم ماستر  ٣ غرف نوم  ٢ حمام لغرف النوم   ,"['000635467_1765094224978.jpg', '000635463_1765094235527.jpg', '000635468_1765094244761.jpg', '000635468_1765094244767.jpg', '000635465_1765094297229.jpg', '000635460_1765094297227.jpg', '000635468_1765094297209.jpg', '000635464_1765094297225.jpg', '000635469_1765094297230.jpg', '000635464_1765094297231.jpg', '000635462_1765094297233.jpg', '000635463_1765094297238.jpg', '000635468_1765094312566.jpg', '000635463_1765094312619.jpg', '000635464_1765094312617.jpg', '000635466_1765094312634.jpg', '000635460_1765094312635.jpg', '000635463_1765094312639.jpg', '000635469_1765094312640.jpg']",['000635463_1765094375794']
6513148,"شقه للبيع في شارع السالميه, حي البحيره, مدينه ابها, منطقه عسير",https://sa.aqar.fm/شقق-للبيع/ابها/حي-ابها-الجديده/شارع-السالميه-حي-البحيره-مدينه-ابها-منطقه-عسير-6513148,510000.0,,,,,,169.0,169.77,5.0,,,,5.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,ابها,حي ابها الجديده,"شارع السالميه, حي البحيره, مدينه ابها, منطقه عسير",18.2165,42.477628,6,sale,apartment,False,شقه للبيع,Apartment for sale,شقق للبيع,شقق-للبيع,/شقق-للبيع,"['شقه', 'شقق', 'للبيع']",شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بالصور و شقق تمليك. يمكنك ايجاد شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بسعر مناسب,6,sale,False,True,False,False,1766167457,1766167457,1767012448,True,True,False,True,True,7200785749.0,962022002610,True,152 / ا / 1,17,True,مكتب خيال الاركان للعقار,4.0,للبيع شقق تمليك في ارقي احياء ابها حي الاطلاله (العثربان الشرقي) مطله علي بحيره السد ومشروع اردارا (وادي ابها) خطوات من وقت اللياقه ———————————— الموقع حي الاطلاله -ولها مدخل مدخلها مباشر من طريق السوده ومن ابها الجديده مساحه الارض : ٦٥٠ تقريبا مساحه كل شقه من ١٧٠ الي ١٧٥متر مكونات الشقه مجلس رجال  مقلط طعام صاله وهي مجلس نساء ٣ غرف نوم منها واحده ماستر غرفتين مطله  3 دورات مياه  مطبخ  شبابيك واسعه نظام انجليزي  الاضاءه سبوت ومخفي الاسقف جبس تمديدات التكييف المركزي جاهزه نحاس واسلاك موقف خاص للشقق المطله  غاز موصل الي المطبخ خزانات كبيره وموصل الصرف تمديدات شبكات نت موقع مميز ومطل علي ابها عداد كهربه خاص  مصعد ايطالي بضمان سنتين في المبني مسجد الحي بجانبها عمر العقار جديد ضمان 25 سنوات علي المواصير الحراريه والبقيه ضمانات الفاتوره مع الشهادات,"['000635468_1766167214019.jpg', '000635462_1766167214015.jpg', '000635467_1766167244669.jpg', '000635468_1766167244705.jpg', '000635460_1766167244668.jpg', '000635466_1766167244697.jpg', '000635464_1766167244752.jpg', '000635465_1766167244727.jpg', '000635467_1766167244721.jpg', '000635460_1766167258810.jpg', '000635468_1766167258806.jpg', '000635465_1766167258823.jpg', '000635461_1766167258811.jpg', '000635464_1766167258836.jpg']",['000635460_1766167341766']
6395412,"شقه للبيع في شارع وادي التلاعه, حي الروضه, مدينه ابها, منطقه عسير",https://sa.aqar.fm/شقق-للبيع/ابها/حي-القريقر/شارع-وادي-التلاعه-حي-الروضه-مدينه-ابها-منطقه-عسير-6395412,540000.0,,,,,,208.0,208.66,6.0,,,,6.0,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,,,ابها,حي القريقر,"شارع وادي التلاعه, حي الروضه, مدينه ابها, منطقه عسير",18.250715,42.626561,6,sale,apartment,False,شقه للبيع,Apartment for sale,شقق للبيع,شقق-للبيع,/شقق-للبيع,"['شقه', 'شقق', 'للبيع']",شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بالصور و شقق تمليك. يمكنك ايجاد شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بسعر مناسب,6,sale,False,True,False,False,1758664747,1758664747,1767012448,True,True,False,True,True,7200559432.0,360001452113,True,4776 / 1443 / ع / 1,87,True,مكتب خيال الاركان للعقار,4.0,نوع العرض / شقه علويه بمخطط حطين بالقرب من مطار ابها  موقع العقار / مخطط حطين ( حي الروابي ) الواجهه / يقع علي واجهه غربيه قيمه العقار  / 540 الف  شامل جميع الضمانات علي التركيبات سباكه كهربا اشراف هندسي مصعد راكب واصل جميع الخدمات ( تحليه - الياف - صرف )  مكونات الشقه مدخل لضيافه الرجال ومدخل للعايله مجلس ضيافه رجال مع بلكونه مطله مع مغاسل ودوره مياه خاصه مقلط طعام للرجال مطبخ وغرفه غسيل مجلس ضيافه نساء مع مغاسل ودوره مياه صاله جلوس عايليه قسم خاص لغرف النوم  غرفه نوم ماستر مع حمام ومغاسل غرفه نوم بنات غرفه نوم اولاد حمام ومغاسل لغرف النوم  درج داخلي من الشقه للسطح,"['000635469_1758664482914.jpg', '000635460_1758664482938.jpg', '000635464_1758664482904.jpg', '000635468_1758664482933.jpg', '000635466_1758664482925.jpg', '000635461_1758664482927.jpg', '000635467_1758664482951.jpg', '000635466_1758664527789.jpg', '000635467_1758664527811.jpg', '000635464_1758664527810.jpg', '000635462_1758664527820.jpg', '000635461_1758664527820.jpg', '000635465_1758664527811.jpg', '000635467_1758664527807.jpg', '000635469_1758664527819.jpg', '000635465_1758664559149.jpg', '000635466_1758664559149.jpg', '000635469_1758664559158.jpg']",['000635462_1758664629721']
6485183,"شقه للبيع في شارع ربيعه القرشي, حي البوادي, مدينه جده, منطقه مكه المكرمه",https://sa.aqar.fm/شقق-للبيع/جده/شمال-جده/حي-البوادي/شارع-البازجي-حي-الربوه-جده-جده-6485183,558000.0,,,,,,127.0,127.44,4.0,3.0,1.0,1.0,4.0,0.0,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,,شمال جده,جده,حي البوادي,"شارع ربيعه القرشي, حي البوادي, مدينه جده, منطقه مكه المكرمه",21.611598001380795,39.16514434889512,6,sale,apartment,False,شقه للبيع,Apartment for sale,شقق للبيع,شقق-للبيع,/شقق-للبيع,"['شقه', 'شقق', 'للبيع']",شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بالصور و شقق تمليك. يمكنك ايجاد شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بسعر مناسب,6,sale,False,True,False,False,1764414526,1764742999,1767012448,True,True,False,True,True,7200782614.0,860002719270,True,3 / 332 / ع,263 / ب,True,شركه ارتاس للعقارات,2.0,شقه راقيه بتشطيبات عاليه الجوده من ارتاس للتطوير العقاري، تجمع بين الفخامه والراحه في تصميم متقن يلبي تطلعات الباحثين عن سكن يقدم قيمه حقيقيه وتجربه معيشيه متكامله. تتكون الشقه من 4 غرف واسعه و 3 حمامات بتجهيزات حديثه، اضافه الي صاله رحبه مثاليه للضيافه، مع مدخلين مستقلين يوفران اعلي درجات الخصوصيه والمرونه في الاستخدام. تتميز الشقه بـ عزل صوتي وحراري دبل يضمن اقصي درجات الراحه داخل المنزل، الي جانب ضمان 50 سنه علي شبكه السباكه، وتامين التعاونيه علي كامل المبني ضد العيوب الخفيه، مما يعكس التزام ارتاس باعلي معايير الجوده ويمنح المالك راحه وامانا طويلي المدي. ⸻ مميزات الشقه: • مدخلان مستقلان بخصوصيه عاليه • عداد مياه راكب وجاهز للاستخدام • خزان مياه مستقل (علوي + سفلي) • الياف بصريه جاهزه للاتصال السريع • عوازل صوتيه وحراريه دبل لجميع النوافذ • تشطيبات اوروبيه فاخره بمعايير حديثه • مصعدان للعماره • موقف خاص مع مضخه مياه لغسيل السيارات للاستفسار وحجز مواعيد الزياره : مدير المبيعات 0540050730,"['033964678_1764413104742.jpg', '033964675_1764518503390.jpg', '033964678_1764518503391.jpg', '033964672_1764518503373.jpg', '033964678_1764518531126.jpg', '033964677_1764518531122.jpg', '033964677_1764519595628.jpg', '033964671_1764519611630.jpg', '033964672_1764519637676.jpg']",['033964677_1764413166443']
6498917,"شقه للبيع في شارع تقي الدين التميمي, حي المهديه, مدينه الرياض, منطقه الرياض",https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهديه/شارع-تقي-الدين-التميمي-حي-المهديه-مدينه-الرياض-منطقه-الرياض-6498917,717000.0,,,,,,736.0,736.0,2.0,3.0,1.0,1.0,2.0,2.0,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,غرب الرياض,الرياض,حي المهديه,"شارع تقي الدين التميمي, حي المهديه, مدينه الرياض, منطقه الرياض",24.633167,46.484266,6,sale,apartment,False,شقه للبيع,Apartment for sale,شقق للبيع,شقق-للبيع,/شقق-للبيع,"['شقه', 'شقق', 'للبيع']",شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بالصور و شقق تمليك. يمكنك ايجاد شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بسعر مناسب,6,sale,False,True,False,False,1765226595,1765226595,1767012448,True,True,False,True,True,7200789958.0,8116847699400000,True,2566/ا,8363,True,شركه مدار النماء للتطوير والاستثمار العقاري,,كوارزو المهديه من مدار العقاريه وحدات سكنيه حديثه وفاخره بتصاميم مريحه وخصوصيه عاليه ومجهزه بانظمه الدخول الذكي. يتميز المبني بتشطيبات ممتازه ومساحات مدروسه وبييه سكنيه هاديه في غرب الرياض. خيار مثالي للعايلات والمهنيين الباحثين عن تملك مسكن مميز في حي هادي ومترابط  المتبقي عدد محدود من الوحدات السكنيه  تفاصيل الوحدات:  2 او 3 غرف نوم  مجلس وصاله  3 دورات مياه  مساحات من ١١١م - ١٦٦م  مميزات اضافيه:  تشطيبات فاخره وضمانات  موقف خاص لكل شقه  نظام دخول ذكي وكاميرات مراقبه  مجلس منفصل داخل الشقه وبلكونات  عدادات كهرباء ومياه مستقله  نقبل جميع البنوك  للاستفسار وحجز موعد زياره، نامل زياره الموقع من الساعه ٤م وحتي ١٠م، او التواصل معنا عبر الواتس,"['045007361_1765226355207.jpg', '045007368_1765226355188.jpg', '045007363_1765226355196.jpg', '045007369_1765226355163.jpg', '045007360_1765226355201.jpg', '045007363_1765294885448.jpg', '045007363_1765294885482.jpg', '045007362_1765294885436.jpg', '045007363_1765294885456.jpg', '045007360_1765294885473.jpg', '045007362_1765294885486.jpg', '045007364_1765294885414.jpg', '045007365_1765294885479.jpg']",['045007364_1765226528790']
6494770,"شقه للبيع في حي الوفاء, مدينه خميس مشيط, منطقه عسير",https://sa.aqar.fm/شقق-للبيع/خميس-مشيط/حي-النهضه/حي-الوفاء-مدينه-خميس-مشيط-منطقه-عسير-6494770,550000.0,,,,,,201.0,201.5,6.0,,,,6.0,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,,,خميس مشيط,حي النهضه,"حي الوفاء, مدينه خميس مشيط, منطقه عسير",18.345163,42.75226,6,sale,apartment,False,شقه للبيع,Apartment for sale,شقق للبيع,شقق-للبيع,/شقق-للبيع,"['شقه', 'شقق', 'للبيع']",شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بالصور و شقق تمليك. يمكنك ايجاد شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بسعر مناسب,6,sale,False,True,False,False,1765016421,1765016421,1767012448,True,True,False,True,True,7200785927.0,395024031465,True,703 / 1424 / ع / 2,345,True,مكتب خيال الاركان للعقار,4.0,نوع العرض / شقه ارضيه بمدخل سياره  موقع العقار / دره الموسي خميس مشيط السعر / 550 الف شقق دور ارضي بموقع مميز جدا بحي دره الموسي بالقرب من ممشي الراقي وجميع الخدمات  شامل جميع الضمانات علي التركيبات سباكه كهربا اشراف هندسي تامين التعاونيه واصل جميع الخدمات  مكونات الشقه الارضيه حوش مدخل سياره مدخل لضيافه الرجال ومدخل للعايله مجلس ضيافه رجال مع مغاسل ودوره مياه مقلط طعام للرجال مع بلكونه مطله مطبخ وغرفه غسيل مجلس ضيافه نساء مع مغاسل ودوره مياه صاله جلوس عايليه قسم خاص لغرف النوم  غرفه نوم ماستر مع حمام ومغاسل غرفه نوم بنات ماستر مع حمام ومغاسل غرفه نوم اولاد,"['000635462_1765016222144.jpg', '000635461_1765016240874.jpg', '000635466_1765016240866.jpg', '000635469_1765016240885.jpg', '000635468_1765016240868.jpg', '000635469_1765016240851.jpg', '000635462_1765016289131.jpg', '000635466_1765016289068.jpg', '000635464_1765016289026.jpg', '000635467_1765016289063.jpg', '000635465_1765016289069.jpg', '000635465_1765016289068.jpg', '000635468_1765016289068.jpg', '000635463_1765016289029.jpg', '000635461_1765016311921.jpg', '000635467_1765016312015.jpg', '000635465_1765016312016.jpg', '000635465_1765016312011.jpg', '000635464_1765016312005.jpg', '000635460_1765016312041.jpg', '000635468_1765016312053.jpg']",['000635462_1765016371105']
6381312,"دور للبيع في شارع الجارود السلمي, حي عكاظ, مدينه الرياض, منطقه الرياض",https://sa.aqar.fm/دور-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-الجارود-السلمي-حي-عكاظ-مدينه-الرياض-منطقه-الرياض-6381312,695000.0,,,,,,200.0,200.0,4.0,5.0,2.0,,4.0,2.0,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,,جنوب الرياض,الرياض,حي عكاظ,"شارع الجارود السلمي, حي عكاظ, مدينه الرياض, منطقه الرياض",24.505021,46.671498,22,sale,floor,False,دور للبيع,Floor for sale,دور للبيع,دور-للبيع,/دور-للبيع,"['دور للبيع', 'ادوار للبيع', 'دور ارضي للبيع', 'بيت دور للبيع', 'ادوار تمليك']",ادوار للبيع الرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه عمر العقار اقل من 5 سنوات، يمكنك البحث عن دور ارضي او اول او ثاني باسعار مناسبه علي عقار,21,sale,False,True,False,False,1757855904,1757855904,1767012448,True,True,False,True,False,7200679067.0,360001255419,True,3027 / 2,1115 / 1,True,شركه الالهام الواضح لخدمات الاعمال شركه شخص واحد,4.0,السلام عليكم - بيع مباشر من الشركه (لا يوجد سعي) - دور اول مع علوي مساحه 505 متر - عباره عن دورين تقريبا - تاون هاوس - مدخل سياره - تاسيس مصعد - غرف نوم جميعها ماستر مع اوفيس بصاله عايليه مفتوحه - غرفه خادمه مع دوره مياه - وحدات سكنيه نظام ادوار - البيع مباشر من الشركه ليس عليه سعي - خصوصيه تامه - صك ملكيه مستقل - عداد كهرباء مستقل - خزان ماء مستقل - فايبر انترنت راكب من شركه STC - اشراف هندسي الشركه المطوره & شركه ملاذ للتامين ضد العيوب الخفيه & اشراف مكتب هندسي مستقل معتمد - كافه الضمانات - تصميم معماري للمهندس عبدالرحمن الزعاقي المعروف,"['032579409_1762261496606.jpg', '032579405_1762656344653.jpg', '032579407_1763392061595.jpg', '032579403_1763392061567.jpg', '032579407_1763393209194.jpg', '032579407_1763393209197.jpg', '032579403_1763393209205.jpg']",
6488825,"شقه للبيع في شارع احمد بن عبدالرحمن النحراوي, حي الوفاء, مدينه خميس مشيط, منطقه عسير",https://sa.aqar.fm/شقق-للبيع/خميس-مشيط/حي-النهضه/شارع-احمد-بن-عبدالرحمن-النحراوي-حي-الوفاء-مدينه-خميس-مشيط-منطقه-عسير-6488825,530000.0,,,,,,223.0,223.5,6.0,,,,6.0,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,,,خميس مشيط,حي النهضه,"شارع احمد بن عبدالرحمن النحراوي, حي الوفاء, مدينه خميس مشيط, منطقه عسير",18.338186,42.750709,6,sale,apartment,False,شقه للبيع,Apartment for sale,شقق للبيع,شقق-للبيع,/شقق-للبيع,"['شقه', 'شقق', 'للبيع']",شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بالصور و شقق تمليك. يمكنك ايجاد شقق للبيع بالرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه مدخل خاص بسعر مناسب,6,sale,False,True,False,False,1764607758,1764607758,1767012448,True,True,False,True,False,7200780282.0,360001571661,True,418 / 1415 / ج / 2,499,True,مكتب خيال الاركان للعقار,4.0,نوع العرض / شقه دور علوي  موقع العقار / حي الراقي خميس مشيط الواجهه / يقع علي واجهه شماليه علي بارحه قيمه الشقه  / 530 الف ‼ملحوظه ‼ الشقه الدور الاخير لها درج داخلي للسطح  الشقق العلويه لها مصعد راكب وسطح خاص لكل شقه  مكونات الشقق مدخل لضيافه الرجال ومدخل للعايله مجلس ضيافه رجال مع مغاسل ودوره مياه مقلط طعام للرجال مطبخ وغرفه غسيل ومستودع مجلس ضيافه نساء مفتوح مع الصاله مع مغاسل ودوره مياه غرفه خادمه بحمام خاص قسم خاص لغرف النوم  غرفه نوم ماستر مع حمام ومغاسل غرفه نوم بنات غرفه نوم اولاد حمام يخدم غرف النوم,"['000635465_1764607358471.jpg', '000635464_1764607372554.jpg', '000635464_1764607383630.jpg', '000635463_1764607383634.jpg', '000635466_1764607398466.jpg', '000635464_1764607398338.jpg', '000635465_1764607398474.jpg', '000635468_1764607398477.jpg', '000635469_1764607398506.jpg', '000635466_1764607398360.jpg', '000635462_1764607398502.jpg', '000635460_1764607398509.jpg', '000635462_1764607416023.jpg', '000635463_1764607416029.jpg', '000635462_1764607416012.jpg', '000635465_1764607416016.jpg', '000635468_1764607416033.jpg', '000635460_1764607416033.jpg', '000635467_1764607416029.jpg']",
6502513,"دور للبيع في شارع الدار الجديده, حي الغدير, مدينه الرياض, منطقه الرياض",https://sa.aqar.fm/دور-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-الدار-الجديده-حي-الغدير-مدينه-الرياض-منطقه-الرياض-6502513,2199000.0,,,,,,195.0,3000.0,5.0,4.0,2.0,,5.0,1.0,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,,شمال الرياض,الرياض,حي الغدير,"شارع الدار الجديده, حي الغدير, مدينه الرياض, منطقه الرياض",24.773871,46.651826,22,sale,floor,False,دور للبيع,Floor for sale,دور للبيع,دور-للبيع,/دور-للبيع,"['دور للبيع', 'ادوار للبيع', 'دور ارضي للبيع', 'بيت دور للبيع', 'ادوار تمليك']",ادوار للبيع الرياض، جده، الدمام، مكه، المدينه و جميع مناطق المملكه العربيه السعوديه عمر العقار اقل من 5 سنوات، يمكنك البحث عن دور ارضي او اول او ثاني باسعار مناسبه علي عقار,21,sale,False,True,False,False,1765448317,1765448317,1767012448,True,True,False,True,False,7200495270.0,399057002284,True,2726,987 / 1 / 3,True,شركه شرفه المسكن للخدمات العقاريه,5.0,* ادوار وبنت هاوس في حي(الغدير) شمال الرياض ◻تقبل البنك وتقبل دعم سكني ◻بدون سعي وبدون عموله تعلن شركه(كالما) فتح باب الحجز لمشروع (ادوار وبنت هاوس حي الغدير)شمال الرياض  الدور الارضي : -المساحات :241متر -السعر:2550000ريال الدور الاول : -المساحات:196متر -السعر:2350000ريال الدور العلوي : -المساحات:178متر -السعر:1950000رياب فلل البنت هاوس -المساحه: 370متر -الاسعار :3200000ريال تكييف مركزي-دخول ذكي-اضاءه LED- ابواب مقاومه للرطوبه ضمانات علي المباني والانشاءات والسباكه والكهرباء والعوازل الماييه والحراريه لتواصل والاستفسار: استشاري المبيعات ساره الخضير 0532573112,"['043610838_1766829234727.jpg', '043610836_1766829234732.jpg', '043610837_1766829234673.jpg', '043610831_1766829234672.jpg']",
